City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
596,Puerto Ayacucho,VE,76.87,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
597,Champerico,GT,81.14,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
601,Katobu,ID,75.7,scattered clouds,-4.9408,122.5276,La Ode Husein
607,Dhrangadhra,IN,83.14,moderate rain,22.9833,71.4667,AMOEBA spot
611,Tomatlan,MX,83.05,overcast clouds,19.9333,-105.25,El Salvial
613,Muscat,OM,82.42,clear sky,23.6139,58.5922,Mutrah Hotel
615,Mana,GF,78.98,overcast clouds,5.6592,-53.7767,LE SAMANA
617,Pasighat,IN,75.94,overcast clouds,28.0667,95.3333,Siang Guest House
619,Tautira,PF,76.96,light rain,-17.7333,-149.15,Pension Oaoa
626,Tonantins,BR,77.99,broken clouds,-2.8731,-67.8022,Hotel Hortensias
631,Cabra,ES,76.08,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
632,Laminusa,PH,82.78,overcast clouds,5.5549,120.9136,Kapotean Bukut
633,Half Moon Bay,US,91.54,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
637,Fort Pierce,US,87.08,broken clouds,27.4467,-80.3256,Hutchinson Island Plaza Hotel & Suites
639,Centralia,US,87.33,clear sky,46.7162,-122.9543,Peppermill Inn
640,Kassala,SD,80.17,overcast clouds,15.451,36.4,Amassi Hotel Gash
641,Biak,ID,76.89,broken clouds,-0.9131,122.8766,Penginapan Kim
648,Jalu,LY,79.45,clear sky,29.0331,21.5482,صاحبة الفخامة
649,Salinopolis,BR,80.13,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
652,Oussouye,SN,80.69,light rain,12.485,-16.5469,Auberge du Routard
653,Namatanai,PG,83.91,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
655,Shenjiamen,CN,76.64,broken clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
658,Pampa,US,88.57,clear sky,35.5362,-100.9599,"Holiday Inn Express & Suites Pampa, an IHG Hotel"
662,Dingle,PH,78.67,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
663,Buala,SB,81.9,light rain,-8.145,159.5921,Maringe Lagoon Lodge
665,Santana Do Acarau,BR,77.02,scattered clouds,-3.4606,-40.2122,Pousada 5 de Julho
671,Oistins,BB,80.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
672,Fuerte Olimpo,PY,81.95,clear sky,-21.0415,-57.8738,Hospedaje DAMI
673,Paracuru,BR,79.11,scattered clouds,-3.41,-39.0306,Hotel Vento Brasil
674,Dhidhdhoo,MV,77.77,overcast clouds,6.8833,73.1,Dhidhoo beach
676,Cortez,US,86.76,few clouds,37.3489,-108.5859,Sand Canyon National 9 Inn
678,Hobyo,SO,75.31,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
681,Turan,VN,78.78,few clouds,16.0678,108.2208,Grand Mercure Danang
682,Nicoya,CR,76.77,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
683,San Cristobal,VE,75.38,scattered clouds,7.7669,-72.225,Pirineos
690,Mungeli,IN,80.31,overcast clouds,22.0667,81.6833,JAI MAA DURGE LODGE
