City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
122,Shache,CN,38.4167,77.2406,71.71,48,55,6.26,broken clouds
123,Cayenne,GF,4.9333,-52.3333,77.04,88,0,1.14,clear sky
124,Korla,CN,41.7597,86.1469,69.57,39,4,12.24,clear sky
125,Miandrivazo,MG,-19.5167,45.4667,64.53,52,1,7.72,clear sky
126,Komsomolskiy,UZ,40.4272,71.7189,70.52,37,0,9.22,clear sky
127,Itarema,BR,-2.9248,-39.9167,77.83,75,6,14.45,clear sky
128,Palmer,US,42.1584,-72.3287,76.37,52,20,10.36,few clouds
129,Samarai,PG,-10.6167,150.6667,78.62,88,100,22.15,moderate rain
130,Acapulco,MX,16.8634,-99.8901,85.82,70,40,5.75,scattered clouds
131,San Ramon,US,37.7799,-121.978,96.82,40,0,12.66,clear sky
132,Faanui,PF,-16.4833,-151.75,78.67,62,30,18.88,scattered clouds
133,Burnie,AU,-41.0667,145.9167,56.91,89,100,7.07,light rain
134,Bichena,ET,10.45,38.2,51.71,81,40,3.94,scattered clouds
135,Krasnovishersk,RU,60.4078,57.082,50.92,85,98,7.72,overcast clouds
136,Saint-Philippe,RE,-21.3585,55.7679,67.59,78,13,3.47,few clouds
137,Mukhen,RU,48.1,136.1,66.16,68,6,4.45,clear sky
138,Ancud,CL,-41.8697,-73.8203,47.23,88,100,7.31,overcast clouds
139,Pandan,PH,14.0453,124.1694,82.08,82,82,7.85,broken clouds
140,Axim,GH,4.8699,-2.2405,74.26,92,78,9.37,light rain
141,Road Town,VG,18.4167,-64.6167,84.29,74,40,6.91,scattered clouds
142,Peterhead,GB,57.5058,-1.7981,48.51,78,4,8.16,clear sky
143,New Smyrna Beach,US,29.0258,-80.927,86.05,100,100,11.5,overcast clouds
144,Mlowo,TZ,-9.0,32.9833,54.57,88,18,5.61,few clouds
145,Bethel,US,41.3712,-73.414,79.11,44,0,6.91,clear sky
146,Najran,SA,17.4924,44.1277,78.51,25,92,2.55,overcast clouds
147,Shimoda,JP,34.6667,138.95,82.08,84,16,10.58,few clouds
148,Khatanga,RU,71.9667,102.5,37.15,96,100,17.22,overcast clouds
149,Edd,ER,13.9297,41.6925,91.81,61,73,3.69,broken clouds
150,Henties Bay,NA,-22.116,14.2845,57.81,84,48,4.0,scattered clouds
151,Rumphi,MW,-11.0186,33.8575,59.72,76,0,4.36,clear sky
152,Ketchikan,US,55.3422,-131.6461,64.87,68,20,9.22,few clouds
153,Lakeside,US,30.13,-81.7682,79.38,94,75,4.61,drizzle
154,Yatou,CN,37.15,122.3833,69.8,86,0,6.91,clear sky
155,Caravelas,BR,-17.7125,-39.2481,66.69,74,95,8.66,overcast clouds
156,Haines Junction,CA,60.7522,-137.5108,60.75,41,9,11.5,clear sky
157,Canton,CN,23.1167,113.25,80.55,75,70,8.84,broken clouds
158,Hilo,US,19.7297,-155.09,89.28,72,20,10.36,few clouds
159,Upernavik,GL,72.7868,-56.1549,39.85,89,100,20.36,overcast clouds
160,Isangel,VU,-19.55,169.2667,75.76,61,96,15.48,overcast clouds
161,Kodiak,US,57.79,-152.4072,56.71,94,100,0.0,light rain
162,Nome,US,64.5011,-165.4064,51.87,93,100,10.36,light rain
163,Patrasaer,IN,23.2167,87.5167,79.61,91,100,7.4,overcast clouds
164,New Norfolk,AU,-42.7826,147.0587,54.9,66,94,1.99,overcast clouds
165,Hearst,CA,49.6835,-83.6665,48.83,60,99,9.35,overcast clouds
166,Leshukonskoye,RU,64.8989,45.7622,41.95,68,100,8.3,overcast clouds
167,Lumeje,AO,-11.55,20.7833,69.24,26,66,4.25,broken clouds
168,Arrecife,ES,28.963,-13.5477,75.18,83,20,17.27,few clouds
169,Madimba,TZ,-10.4,40.3333,73.45,80,8,16.02,clear sky
170,Sao Filipe,CV,14.8961,-24.4956,77.92,81,88,5.03,overcast clouds
171,Kununurra,AU,-15.7667,128.7333,78.78,69,19,4.61,few clouds
172,Telemaco Borba,BR,-24.3239,-50.6156,56.68,84,1,2.98,clear sky
173,Grindavik,IS,63.8424,-22.4338,48.67,87,75,12.66,broken clouds
174,Lagoa,PT,39.05,-27.9833,71.58,76,66,8.01,broken clouds
175,Narrabri,AU,-30.3167,149.7833,58.51,74,73,3.0,broken clouds
176,Kadiri,IN,14.1167,78.1667,75.18,85,100,3.15,overcast clouds
177,Pumiao,CN,22.75,108.4833,74.73,89,100,7.18,overcast clouds
178,Richards Bay,ZA,-28.783,32.0377,59.25,69,69,4.43,broken clouds
179,Pundaguitan,PH,6.3711,126.1689,83.41,74,93,6.4,overcast clouds
180,Sapa,PH,5.1544,120.3241,80.73,79,100,1.86,overcast clouds
181,Baykit,RU,61.67,96.37,39.02,93,100,10.4,overcast clouds
182,Hirara,JP,24.8,125.2833,84.06,100,75,25.32,light intensity shower rain
183,Owasso,US,36.2695,-95.8547,95.47,25,75,5.75,broken clouds
184,Isla Vista,US,34.4133,-119.861,105.98,25,0,9.13,clear sky
185,Muli,MV,2.9167,73.5667,80.65,76,95,18.9,light rain
186,Hamilton,US,39.1834,-84.5333,81.21,53,0,11.5,clear sky
187,Ahipara,NZ,-35.1667,173.1667,58.82,62,100,6.51,overcast clouds
188,Japura,ID,-0.3167,102.35,73.6,98,65,2.08,broken clouds
189,Luderitz,NA,-26.6481,15.1594,56.03,83,5,3.42,clear sky
190,Hithadhoo,MV,-0.6,73.0833,80.51,75,95,16.6,overcast clouds
191,Severo-Kurilsk,RU,50.6789,156.125,57.58,74,100,2.3,overcast clouds
192,Cidreira,BR,-30.1811,-50.2056,61.07,80,0,19.51,clear sky
193,Arkhara,RU,49.4212,130.0842,47.43,96,100,11.48,light rain
194,Ostrovnoy,RU,68.0531,39.5131,44.85,71,99,13.94,overcast clouds
195,Pontes E Lacerda,BR,-15.2261,-59.3353,83.16,27,18,2.95,few clouds
196,Mount Gambier,AU,-37.8333,140.7667,49.91,93,75,10.36,broken clouds
197,Ambalavao,MG,-21.8333,46.9333,46.71,89,1,3.13,clear sky
198,Wageningen,NL,51.9667,5.6667,64.11,74,99,10.36,overcast clouds
199,Clarence Town,AU,-32.5833,151.7833,64.85,78,9,2.68,clear sky
200,Awjilah,LY,29.1081,21.2869,78.94,59,0,12.86,clear sky
201,Ilhabela,BR,-23.7781,-45.3581,64.51,75,17,12.39,few clouds
202,Trinidad,BO,-14.8333,-64.9,81.82,32,0,3.96,clear sky
203,Norman Wells,CA,65.282,-126.8329,68.04,49,40,8.05,scattered clouds
204,Ilulissat,GL,69.2167,-51.1,39.22,87,100,9.22,overcast clouds
205,Atambua,ID,-9.1061,124.8925,74.12,76,62,3.42,broken clouds
206,Calama,CL,-22.4667,-68.9333,61.29,10,0,14.97,clear sky
207,Auckland,NZ,-36.8667,174.7667,61.12,64,100,5.75,overcast clouds
208,Sanjwal,PK,33.7608,72.4336,81.82,64,0,4.81,clear sky
209,Lagos,NG,6.5833,3.75,74.55,92,100,5.01,overcast clouds
210,Lazaro Cardenas,MX,17.9583,-102.2,84.92,69,98,8.61,overcast clouds
211,Te Anau,NZ,-45.4167,167.7167,54.5,88,76,3.89,broken clouds
212,Yumen,CN,40.2833,97.2,65.73,28,81,1.16,broken clouds
213,Chokurdakh,RU,70.6333,147.9167,44.65,52,100,5.93,overcast clouds
214,Porto Novo,BJ,6.4965,2.6036,75.47,89,100,7.72,overcast clouds
215,Dhing,IN,26.4667,92.4667,76.8,95,99,2.33,overcast clouds
216,Bocas Del Toro,PA,9.3333,-82.25,81.68,78,89,3.15,overcast clouds
217,Taoudenni,ML,22.6783,-3.9836,97.16,19,8,3.31,clear sky
218,Chara,RU,56.9064,118.2631,40.28,80,89,2.08,light rain
219,Boundiali,CI,9.5217,-6.4869,70.02,95,90,1.16,overcast clouds
220,Lamar,US,33.6668,-95.5836,91.98,56,0,8.05,clear sky
221,Chuy,UY,-33.6971,-53.4616,54.0,92,87,8.25,overcast clouds
222,Barraute,CA,48.4335,-77.6328,52.07,94,100,7.54,overcast clouds
223,Matara,LK,5.9485,80.5353,75.79,90,99,11.21,overcast clouds
224,Goderich,CA,43.7501,-81.7165,74.91,71,47,13.62,scattered clouds
225,Port-Gentil,GA,-0.7193,8.7815,76.77,84,62,14.29,broken clouds
226,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,94,100,9.22,overcast clouds
227,Mao,ES,39.8885,4.2658,75.76,88,0,5.75,clear sky
228,Amarante Do Maranhao,BR,-5.5667,-46.7422,81.41,36,2,4.25,clear sky
229,Bambanglipuro,ID,-7.95,110.2833,75.02,91,100,6.13,overcast clouds
230,Broome,US,42.2506,-75.833,74.08,58,0,9.22,clear sky
231,Alofi,NU,-19.0595,-169.9187,75.52,80,29,12.66,scattered clouds
232,Vilhena,BR,-12.7406,-60.1458,77.07,32,5,2.55,clear sky
233,Chumikan,RU,54.7183,135.315,57.34,79,43,3.85,scattered clouds
234,Ambon,ID,-3.6954,128.1814,77.14,94,75,4.61,broken clouds
235,Tamandare,BR,-8.7597,-35.1047,73.27,80,87,10.78,overcast clouds
236,Alton,US,38.8906,-90.1843,85.28,56,1,3.36,clear sky
237,Riyadh,SA,24.6877,46.7219,82.54,19,100,6.85,overcast clouds
238,Victoria,HK,22.2855,114.1577,86.32,84,24,4.0,few clouds
239,Jumla,NP,29.2747,82.1838,60.49,89,86,0.83,overcast clouds
240,Bettiah,IN,26.8,84.5,78.76,92,100,5.44,heavy intensity rain
241,Ribeira Grande,PT,38.5167,-28.7,72.72,81,85,8.19,overcast clouds
242,Stepnyak,KZ,52.8339,70.7803,66.97,38,100,10.33,overcast clouds
243,Nelson,NZ,-41.2833,173.2833,60.3,78,80,1.99,broken clouds
244,Severnyy,RU,50.677,36.5532,62.64,72,0,8.95,clear sky
245,Klaksvik,FO,62.2266,-6.589,50.92,90,12,17.25,few clouds
246,Nanortalik,GL,60.1432,-45.2371,41.07,78,72,9.89,broken clouds
247,Charlotte,US,35.2271,-80.8431,88.88,51,20,4.61,few clouds
248,Mumford,GH,5.2618,-0.759,73.44,94,85,9.17,overcast clouds
249,Portland,US,45.5234,-122.6762,94.86,37,0,5.01,clear sky
250,Talara,PE,-4.5772,-81.2719,66.96,72,0,16.11,clear sky
251,Severomuysk,RU,56.1481,113.4267,33.93,98,100,4.59,snow
252,Tutoia,BR,-2.7619,-42.2744,78.55,80,5,10.56,clear sky
253,Kaitangata,NZ,-46.2817,169.8464,53.47,71,77,2.84,broken clouds
254,Arraial Do Cabo,BR,-22.9661,-42.0278,66.24,64,0,18.61,clear sky
255,Asau,RO,46.4333,26.4,65.28,87,97,3.09,light rain
256,Nioro,GM,13.35,-15.75,74.64,96,98,4.92,light rain
257,Tshikapa,CD,-6.4167,20.8,72.64,85,41,2.73,light rain
258,Kedgwick,CA,47.6446,-67.3434,63.46,98,100,5.7,light rain
259,Pehowa,IN,29.9833,76.5833,80.22,76,4,1.7,clear sky
260,Skibbereen,IE,51.55,-9.2667,61.11,77,98,8.16,overcast clouds
261,Tongren,CN,27.7172,109.1853,70.14,79,100,1.74,overcast clouds
262,Mashhad,IR,36.297,59.6062,66.34,45,0,4.61,clear sky
263,Manyana,BW,-23.4,21.7167,61.68,43,0,16.2,clear sky
264,Belyy Yar,RU,53.6039,91.3903,57.09,77,0,4.47,clear sky
265,Monster,NL,52.0258,4.175,64.0,75,3,12.66,clear sky
266,Yarada,IN,17.65,83.2667,79.12,100,40,2.3,mist
267,Constitucion,CL,-35.3333,-72.4167,52.74,86,100,8.86,overcast clouds
268,Kabo,CF,7.6994,18.629,71.24,97,100,4.32,moderate rain
269,Katsuura,JP,35.1333,140.3,82.42,82,5,19.3,clear sky
270,Sangar,RU,63.9242,127.4739,42.49,89,89,7.9,overcast clouds
271,Mutsu,JP,41.2894,141.2169,71.35,93,100,3.24,light rain
272,Hay River,CA,60.8156,-115.7999,66.18,52,75,3.44,broken clouds
273,Kaili,ID,-3.4626,120.2147,67.15,92,17,2.24,few clouds
274,San Patricio,US,28.017,-97.5169,89.55,57,100,10.94,overcast clouds
275,Tilichiki,RU,60.4667,166.1,51.75,52,1,14.52,clear sky
276,Iwanai,JP,42.9744,140.5089,68.86,94,99,5.86,light rain
277,Marquette,US,46.5333,-87.6335,71.78,58,69,7.92,broken clouds
278,Muros,ES,42.7762,-9.0603,61.84,91,91,5.14,overcast clouds
279,Vila Velha,BR,-20.3297,-40.2925,64.94,81,40,2.3,scattered clouds
280,Nuuk,GL,64.1835,-51.7216,41.61,70,9,9.22,clear sky
281,Hermosillo,MX,29.0667,-110.9667,98.91,44,40,4.61,scattered clouds
282,Zhangye,CN,38.9342,100.4517,64.31,44,13,7.14,few clouds
283,Sainte-Rose,GP,16.3324,-61.6979,83.17,74,20,5.75,few clouds
284,Xenia,US,39.6848,-83.9296,79.27,50,20,10.36,few clouds
285,Souillac,MU,-20.5167,57.5167,62.98,88,20,5.75,few clouds
286,Mutoko,ZW,-17.397,32.2268,47.1,87,6,4.79,clear sky
287,Sao Lourenco Do Oeste,BR,-26.3592,-52.8511,53.73,73,5,3.51,clear sky
288,Mar Del Plata,AR,-38.0023,-57.5575,56.08,54,0,13.0,clear sky
289,Carmen,MX,18.6333,-91.8333,86.04,74,40,13.8,scattered clouds
290,Verkhnyaya Toyma,RU,62.2349,44.9985,45.41,93,100,13.38,light rain
291,Bambous Virieux,MU,-20.3428,57.7575,62.85,88,20,5.75,few clouds
292,Terney,RU,45.0503,136.6092,65.91,64,1,2.84,clear sky
293,Esperance,AU,-33.8667,121.9,52.72,79,49,5.61,scattered clouds
294,Treinta Y Tres,UY,-33.2333,-54.3833,54.59,90,33,7.27,scattered clouds
