City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
215,Half Moon Bay,US,2022-08-28 00:36:22,37.4636,-122.4286,303.03,77,100,10.29
216,Khotynets,RU,2022-08-28 00:36:23,53.1286,35.3966,300.03,30,100,6.21
217,Zharkent,KZ,2022-08-28 00:36:23,44.1628,80.0,291.17,35,0,2.13
218,Henties Bay,NA,2022-08-28 00:36:24,-22.116,14.2845,283.87,89,1,2.21
219,Avarua,CK,2022-08-28 00:36:25,-21.2078,-159.775,299.18,65,18,5.66
220,Ulladulla,AU,2022-08-28 00:36:26,-35.35,150.4667,290.43,59,2,2.33
221,Warrnambool,AU,2022-08-28 00:31:27,-38.3833,142.4833,288.7,66,95,6.35
222,Shimoda,JP,2022-08-28 00:36:27,34.6667,138.95,299.35,80,89,1.39
223,Hai Duong,VN,2022-08-28 00:36:28,20.9333,106.3167,301.15,78,16,2.0
224,Noumea,NC,2022-08-28 00:31:34,-22.2763,166.4572,295.93,99,100,7.18
225,Stepnogorsk,KZ,2022-08-28 00:37:29,52.3544,71.8869,283.65,66,0,3.05
226,Quatre Cocos,MU,2022-08-28 00:37:30,-20.2078,57.7625,294.87,88,84,6.41
227,Ouadda,CF,2022-08-28 00:37:30,8.0777,22.4007,292.4,98,100,1.45
228,Kodiak,US,2022-08-28 00:37:31,57.79,-152.4072,285.88,82,100,1.54
229,Plainview,US,2022-08-28 00:37:31,40.7765,-73.4673,299.26,74,0,2.57
230,Beloha,MG,2022-08-28 00:37:33,-25.1667,45.05,291.25,60,0,1.06
231,Banda,IN,2022-08-28 00:37:34,25.4833,80.3333,300.68,80,100,3.49
232,Kailua,US,2022-08-28 00:37:34,21.4022,-157.7394,305.14,66,1,1.79
233,Nouadhibou,MR,2022-08-28 00:37:35,20.931,-17.0347,294.63,83,78,11.81
234,Berlin,DE,2022-08-28 00:34:54,52.5244,13.4105,293.17,92,100,4.63
235,Nanortalik,GL,2022-08-28 00:37:37,60.1432,-45.2371,278.48,85,99,3.81
236,Mana,GF,2022-08-28 00:37:38,5.6592,-53.7767,299.13,80,17,3.59
237,Wiang Sa,TH,2022-08-28 00:37:38,8.6359,99.3666,300.85,85,24,1.16
238,Aswan,EG,2022-08-28 00:37:39,24.0934,32.907,304.48,27,8,5.44
239,Kavaratti,IN,2022-08-28 00:37:41,10.5669,72.642,299.58,82,98,8.19
240,Sibu,MY,2022-08-28 00:37:42,2.3,111.8167,297.32,88,40,0.51
241,Progreso,MX,2022-08-28 00:37:43,21.2833,-89.6667,301.21,85,100,6.99
242,Rocha,UY,2022-08-28 00:37:43,-34.4833,-54.3333,281.33,58,83,8.31
243,Vanavara,RU,2022-08-28 00:37:45,60.34,102.2797,279.68,96,100,4.05
244,Neiafu,TO,2022-08-28 00:37:45,-18.65,-173.9833,299.53,73,40,4.12
245,Lagos,NG,2022-08-28 00:35:04,6.5833,3.75,298.33,90,100,2.53
246,Chauk,MM,2022-08-28 00:37:47,20.8833,94.8167,298.81,83,78,5.11
247,Muhos,FI,2022-08-28 00:37:48,64.808,25.9931,288.03,99,100,2.19
248,Vangaindrano,MG,2022-08-28 00:37:48,-23.35,47.6,290.55,89,51,1.61
249,Katsuura,JP,2022-08-28 00:37:49,35.1333,140.3,301.16,79,50,0.43
250,Sao Filipe,CV,2022-08-28 00:37:50,14.8961,-24.4956,298.49,79,99,6.01
251,Lagoa,PT,2022-08-28 00:37:51,39.05,-27.9833,295.88,82,0,10.37
252,Comodoro Rivadavia,AR,2022-08-28 00:37:48,-45.8667,-67.5,277.07,33,0,4.12
253,Pangkalanbuun,ID,2022-08-28 00:37:52,-2.6833,111.6167,299.53,87,97,0.72
254,Port Hedland,AU,2022-08-28 00:37:53,-20.3167,118.5667,298.18,20,0,8.23
255,Bo Phloi,TH,2022-08-28 00:37:53,14.3236,99.5161,301.66,81,100,0.88
256,Ulaangom,MN,2022-08-28 00:37:54,49.9811,92.0667,288.95,46,23,0.08
257,Puerto Ayacucho,VE,2022-08-28 00:37:55,5.6639,-67.6236,297.3,89,70,0.42
258,Tautira,PF,2022-08-28 00:37:56,-17.7333,-149.15,297.68,74,28,1.64
